selection_key,order_id,order_number,item_index,product_id,variant_id,sku,name,quantity,price,subtotal,total,currency,raw_item_json
order:66642,66642,66642,24,42420,,AVENGERS16,LIBRO PARA COLOREAR 16 PGS AVENGERS,100,10.00,1000.00,1000.00,MXN,"{""id"":""42420"",""productId"":""42420"",""variantId"":"""",""sku"":""AVENGERS16"",""name"":""LIBRO PARA COLOREAR 16 PGS AVENGERS"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42420"",""sku"":""AVENGERS16"",""name"":""LIBRO PARA COLOREAR 16 PGS AVENGERS"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42420"",""variant_id"":null}}"
order:66642,66642,66642,25,65860,,ZOOTOPIA16,LIBRO PARA COLOREAR 16 PAGS ZOOTOPIA,100,10.00,1000.00,1000.00,MXN,"{""id"":""65860"",""productId"":""65860"",""variantId"":"""",""sku"":""ZOOTOPIA16"",""name"":""LIBRO PARA COLOREAR 16 PAGS ZOOTOPIA"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""65860"",""sku"":""ZOOTOPIA16"",""name"":""LIBRO PARA COLOREAR 16 PAGS ZOOTOPIA"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""65860"",""variant_id"":null}}"
order:66642,66642,66642,26,42473,,SPIDEY16,LIBRO PARA COLOREAR 16 PAGS SPIDEY,100,10.00,1000.00,1000.00,MXN,"{""id"":""42473"",""productId"":""42473"",""variantId"":"""",""sku"":""SPIDEY16"",""name"":""LIBRO PARA COLOREAR 16 PAGS SPIDEY"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42473"",""sku"":""SPIDEY16"",""name"":""LIBRO PARA COLOREAR 16 PAGS SPIDEY"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42473"",""variant_id"":null}}"
order:66642,66642,66642,27,66506,,PLIMPLIM16,LIBRO PARA COLOREAR 16 PAGS PLIMPLIM,100,10.00,1000.00,1000.00,MXN,"{""id"":""66506"",""productId"":""66506"",""variantId"":"""",""sku"":""PLIMPLIM16"",""name"":""LIBRO PARA COLOREAR 16 PAGS PLIMPLIM"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""66506"",""sku"":""PLIMPLIM16"",""name"":""LIBRO PARA COLOREAR 16 PAGS PLIMPLIM"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""66506"",""variant_id"":null}}"
order:66642,66642,66642,28,65857,,ONEPIECE16,LIBRO PARA COLOREAR 16 PAGS ONEPIECE,100,10.00,1000.00,1000.00,MXN,"{""id"":""65857"",""productId"":""65857"",""variantId"":"""",""sku"":""ONEPIECE16"",""name"":""LIBRO PARA COLOREAR 16 PAGS ONEPIECE"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""65857"",""sku"":""ONEPIECE16"",""name"":""LIBRO PARA COLOREAR 16 PAGS ONEPIECE"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""65857"",""variant_id"":null}}"
order:66642,66642,66642,29,66504,,MELODY16,LIBRO PARA COLOREAR 16 PAGS MELODY,100,10.00,1000.00,1000.00,MXN,"{""id"":""66504"",""productId"":""66504"",""variantId"":"""",""sku"":""MELODY16"",""name"":""LIBRO PARA COLOREAR 16 PAGS MELODY"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""66504"",""sku"":""MELODY16"",""name"":""LIBRO PARA COLOREAR 16 PAGS MELODY"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""66504"",""variant_id"":null}}"
order:66642,66642,66642,30,65855,,KUROMI16,LIBRO PARA COLOREAR 16 PAGS KUROMI,100,10.00,1000.00,1000.00,MXN,"{""id"":""65855"",""productId"":""65855"",""variantId"":"""",""sku"":""KUROMI16"",""name"":""LIBRO PARA COLOREAR 16 PAGS KUROMI"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""65855"",""sku"":""KUROMI16"",""name"":""LIBRO PARA COLOREAR 16 PAGS KUROMI"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""65855"",""variant_id"":null}}"
order:66642,66642,66642,31,65854,,GRANJA16,LIBRO PARA COLOREAR 16 PAGS GRANJA,100,10.00,1000.00,1000.00,MXN,"{""id"":""65854"",""productId"":""65854"",""variantId"":"""",""sku"":""GRANJA16"",""name"":""LIBRO PARA COLOREAR 16 PAGS GRANJA"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""65854"",""sku"":""GRANJA16"",""name"":""LIBRO PARA COLOREAR 16 PAGS GRANJA"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""65854"",""variant_id"":null}}"
order:66642,66642,66642,32,38080,,UNICORNIO16,LIBRO COLOREAR 16 PGS UNICORNIOS,100,10.00,1000.00,1000.00,MXN,"{""id"":""38080"",""productId"":""38080"",""variantId"":"""",""sku"":""UNICORNIO16"",""name"":""LIBRO COLOREAR 16 PGS UNICORNIOS"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""38080"",""sku"":""UNICORNIO16"",""name"":""LIBRO COLOREAR 16 PGS UNICORNIOS"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""38080"",""variant_id"":null}}"
order:66642,66642,66642,33,42476,,TOYSTORY16,LIBRO COLOREAR 16 PGS TOY STORY 4,100,10.00,1000.00,1000.00,MXN,"{""id"":""42476"",""productId"":""42476"",""variantId"":"""",""sku"":""TOYSTORY16"",""name"":""LIBRO COLOREAR 16 PGS TOY STORY 4"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42476"",""sku"":""TOYSTORY16"",""name"":""LIBRO COLOREAR 16 PGS TOY STORY 4"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42476"",""variant_id"":null}}"
order:66642,66642,66642,34,66517,,SPIDER16,LIBRO COLOREAR 16 PGS SPIDER MAN,100,10.00,1000.00,1000.00,MXN,"{""id"":""66517"",""productId"":""66517"",""variantId"":"""",""sku"":""SPIDER16"",""name"":""LIBRO COLOREAR 16 PGS SPIDER MAN"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""66517"",""sku"":""SPIDER16"",""name"":""LIBRO COLOREAR 16 PGS SPIDER MAN"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""66517"",""variant_id"":null}}"
order:66642,66642,66642,35,42434,,PRINCESA16,LIBRO COLOREAR 16 PGS PRINCESAS,100,10.00,1000.00,1000.00,MXN,"{""id"":""42434"",""productId"":""42434"",""variantId"":"""",""sku"":""PRINCESA16"",""name"":""LIBRO COLOREAR 16 PGS PRINCESAS"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42434"",""sku"":""PRINCESA16"",""name"":""LIBRO COLOREAR 16 PGS PRINCESAS"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42434"",""variant_id"":null}}"
order:66642,66642,66642,36,42431,,MINNIE16,LIBRO COLOREAR 16 PGS MINNIE,100,10.00,1000.00,1000.00,MXN,"{""id"":""42431"",""productId"":""42431"",""variantId"":"""",""sku"":""MINNIE16"",""name"":""LIBRO COLOREAR 16 PGS MINNIE"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42431"",""sku"":""MINNIE16"",""name"":""LIBRO COLOREAR 16 PGS MINNIE"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42431"",""variant_id"":null}}"
order:66642,66642,66642,37,66514,,LADYBUG16,LIBRO COLOREAR 16 PGS LADYBUG,100,10.00,1000.00,1000.00,MXN,"{""id"":""66514"",""productId"":""66514"",""variantId"":"""",""sku"":""LADYBUG16"",""name"":""LIBRO COLOREAR 16 PGS LADYBUG"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""66514"",""sku"":""LADYBUG16"",""name"":""LIBRO COLOREAR 16 PGS LADYBUG"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""66514"",""variant_id"":null}}"
order:66642,66642,66642,38,65902,,CARS16,LIBRO COLOREAR 16 PGS CARS,100,10.00,1000.00,1000.00,MXN,"{""id"":""65902"",""productId"":""65902"",""variantId"":"""",""sku"":""CARS16"",""name"":""LIBRO COLOREAR 16 PGS CARS"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""65902"",""sku"":""CARS16"",""name"":""LIBRO COLOREAR 16 PGS CARS"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""65902"",""variant_id"":null}}"
order:66642,66642,66642,39,65903,,FROZEN16,LIBRO COLOREAR 16 PGS FROZEN,100,10.00,1000.00,1000.00,MXN,"{""id"":""65903"",""productId"":""65903"",""variantId"":"""",""sku"":""FROZEN16"",""name"":""LIBRO COLOREAR 16 PGS FROZEN"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""65903"",""sku"":""FROZEN16"",""name"":""LIBRO COLOREAR 16 PGS FROZEN"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""65903"",""variant_id"":null}}"
order:66642,66642,66642,40,65560,,SH739831,LANZADOR DE AGUA 35CM,144,28.45,4096.80,4096.80,MXN,"{""id"":""65560"",""productId"":""65560"",""variantId"":"""",""sku"":""SH739831"",""name"":""LANZADOR DE AGUA 35CM"",""quantity"":144,""price"":28.45,""subtotal"":4096.8,""lineTotal"":4096.8,""currency"":"""",""rawItem"":{""id"":""65560"",""sku"":""SH739831"",""name"":""LANZADOR DE AGUA 35CM"",""price"":28.45,""quantity"":144,""subtotal"":4096.8,""line_total"":4096.8,""product_id"":""65560"",""variant_id"":null}}"
order:66642,66642,66642,41,65467,,SH21021888,JUEGO DE PESCA 23CM,144,25.00,3600.00,3600.00,MXN,"{""id"":""65467"",""productId"":""65467"",""variantId"":"""",""sku"":""SH21021888"",""name"":""JUEGO DE PESCA 23CM"",""quantity"":144,""price"":25,""subtotal"":3600,""lineTotal"":3600,""currency"":"""",""rawItem"":{""id"":""65467"",""sku"":""SH21021888"",""name"":""JUEGO DE PESCA 23CM"",""price"":25,""quantity"":144,""subtotal"":3600,""line_total"":3600,""product_id"":""65467"",""variant_id"":null}}"
order:66642,66642,66642,42,39929,,SH24008780,JUEGO DE MAQUILLAJE,144,25.00,3600.00,3600.00,MXN,"{""id"":""39929"",""productId"":""39929"",""variantId"":"""",""sku"":""SH24008780"",""name"":""JUEGO DE MAQUILLAJE"",""quantity"":144,""price"":25,""subtotal"":3600,""lineTotal"":3600,""currency"":"""",""rawItem"":{""id"":""39929"",""sku"":""SH24008780"",""name"":""JUEGO DE MAQUILLAJE"",""price"":25,""quantity"":144,""subtotal"":3600,""line_total"":3600,""product_id"":""39929"",""variant_id"":null}}"
order:66642,66642,66642,43,38705,,SH22106445,JUEGO DE DOCTOR,96,35.35,3393.60,3393.60,MXN,"{""id"":""38705"",""productId"":""38705"",""variantId"":"""",""sku"":""SH22106445"",""name"":""JUEGO DE DOCTOR"",""quantity"":96,""price"":35.35,""subtotal"":3393.6,""lineTotal"":3393.6,""currency"":"""",""rawItem"":{""id"":""38705"",""sku"":""SH22106445"",""name"":""JUEGO DE DOCTOR"",""price"":35.35,""quantity"":96,""subtotal"":3393.6,""line_total"":3393.6,""product_id"":""38705"",""variant_id"":null}}"
order:66642,66642,66642,44,34497,,SH23119117,GLOBOS DE AGUA 37 PIEZAS,192,16.38,3144.96,3144.96,MXN,"{""id"":""34497"",""productId"":""34497"",""variantId"":"""",""sku"":""SH23119117"",""name"":""GLOBOS DE AGUA 37 PIEZAS"",""quantity"":192,""price"":16.38,""subtotal"":3144.96,""lineTotal"":3144.96,""currency"":"""",""rawItem"":{""id"":""34497"",""sku"":""SH23119117"",""name"":""GLOBOS DE AGUA 37 PIEZAS"",""price"":16.38,""quantity"":192,""subtotal"":3144.96,""line_total"":3144.96,""product_id"":""34497"",""variant_id"":null}}"
order:66642,66642,66642,45,54049,,SWA3023,FOAMY MOLDEABLE 12 PIEZAS,120,25.00,3000.00,3000.00,MXN,"{""id"":""54049"",""productId"":""54049"",""variantId"":"""",""sku"":""SWA3023"",""name"":""FOAMY MOLDEABLE 12 PIEZAS"",""quantity"":120,""price"":25,""subtotal"":3000,""lineTotal"":3000,""currency"":"""",""rawItem"":{""id"":""54049"",""sku"":""SWA3023"",""name"":""FOAMY MOLDEABLE 12 PIEZAS"",""price"":25,""quantity"":120,""subtotal"":3000,""line_total"":3000,""product_id"":""54049"",""variant_id"":null}}"
order:66642,66642,66642,46,32807,,SWA2995,DOMINO,144,21.55,3103.20,3103.20,MXN,"{""id"":""32807"",""productId"":""32807"",""variantId"":"""",""sku"":""SWA2995"",""name"":""DOMINO"",""quantity"":144,""price"":21.55,""subtotal"":3103.2,""lineTotal"":3103.2,""currency"":"""",""rawItem"":{""id"":""32807"",""sku"":""SWA2995"",""name"":""DOMINO"",""price"":21.55,""quantity"":144,""subtotal"":3103.2,""line_total"":3103.2,""product_id"":""32807"",""variant_id"":null}}"
order:66642,66642,66642,47,43966,,SH22106301,CARREOLA METALICA.,24,116.38,2793.12,2793.12,MXN,"{""id"":""43966"",""productId"":""43966"",""variantId"":"""",""sku"":""SH22106301"",""name"":""CARREOLA METALICA."",""quantity"":24,""price"":116.38,""subtotal"":2793.12,""lineTotal"":2793.12,""currency"":"""",""rawItem"":{""id"":""43966"",""sku"":""SH22106301"",""name"":""CARREOLA METALICA."",""price"":116.38,""quantity"":24,""subtotal"":2793.12,""line_total"":2793.12,""product_id"":""43966"",""variant_id"":null}}"
order:66642,66642,66642,48,54027,,SH1155669,CAMION FRICCION.,36,85.35,3072.60,3072.60,MXN,"{""id"":""54027"",""productId"":""54027"",""variantId"":"""",""sku"":""SH1155669"",""name"":""CAMION FRICCION."",""quantity"":36,""price"":85.35,""subtotal"":3072.6,""lineTotal"":3072.6,""currency"":"""",""rawItem"":{""id"":""54027"",""sku"":""SH1155669"",""name"":""CAMION FRICCION."",""price"":85.35,""quantity"":36,""subtotal"":3072.6,""line_total"":3072.6,""product_id"":""54027"",""variant_id"":null}}"
order:66642,66642,66642,49,43971,,SH23149088,BURBUJAS ESPADA 37CM.,144,12.93,1861.92,1861.92,MXN,"{""id"":""43971"",""productId"":""43971"",""variantId"":"""",""sku"":""SH23149088"",""name"":""BURBUJAS ESPADA 37CM."",""quantity"":144,""price"":12.93,""subtotal"":1861.92,""lineTotal"":1861.92,""currency"":"""",""rawItem"":{""id"":""43971"",""sku"":""SH23149088"",""name"":""BURBUJAS ESPADA 37CM."",""price"":12.93,""quantity"":144,""subtotal"":1861.92,""line_total"":1861.92,""product_id"":""43971"",""variant_id"":null}}"
